Metric,Value
Total Tests,4
Failed Tests,2
Total Elements,11
Execution Time (s),1.699
Formulas Used,"ochiai, tarantula, jaccard, dstar2, kulczynski2"

Formula,Top Element,File,Line,Score
ochiai,equilateral.py:10,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,10,0.707107
tarantula,equilateral.py:10,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,10,1.000000
jaccard,equilateral.py:10,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,10,0.500000
dstar2,equilateral.py:10,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,10,1.000000
kulczynski2,equilateral.py:10,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,10,0.750000
