Rank,File,Line,Element,Suspiciousness,Formula
1,C:\Users\Alessandro\Desktop\PyFault\file1.py,15,,1.000000,ochiai
2,C:\Users\Alessandro\Desktop\PyFault\file1.py,10,,0.707107,ochiai
